"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Journal Controlory Applications","Journal of Control Theory and Applications","P E",11768,"11768E","11768N","1672-6340","1993-0623","South China University of Technology and Academy of Mathematics and Systems Science, CAS, co-published with Springer","E",1,8,4,"USD",596,"USD",715.2,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Crop Science Biotechnology","Journal of Crop Science and Biotechnology","P E OF",12892,"12892E","12892N","1975-9479","2005-8276","The Korean Society of Crop Science, co-published with Springer","E",1,13,4,"USD",420,"USD",504,28,"New in 2009","Take-Over Co-Publication in 2009. Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
"Journal Cross-Cultural Gerontology","Journal of Cross-Cultural Gerontology","P E OF",10823,"10823E","10823N","0169-3816","1573-0719","Springer US","E",1,25,4,"USD",590,"USD",708,28,,,
"Journal Cryptology","Journal of Cryptology","P E OF",145,"145E","145N","0933-2790","1432-1378","Springer New York","E",1,23,4,"USD",560,"USD",672,28,,,
"Journal Cultural Economics","Journal of Cultural Economics","P E OF",10824,"10824E","10824N","0885-2545","1573-6997","Springer US","E",1,34,4,"USD",551,"USD",661.2,28,,,
"Journal Developmental Physical Disabilities","Journal of Developmental and Physical Disabilities","P E OF",10882,"10882E","10882N","1056-263X","1573-3580","Springer US","E",1,22,6,"USD",836,"USD",1003.2,42,,,
"Journal Digital Imaging","Journal of Digital Imaging","P E OF",10278,"10278E","10278N","0897-1889","1618-727X","Springer New York","E",1,23,6,"USD",867,"USD",1040.4,42,,"More content! ",
"Journal Dynamical Control Systems","Journal of Dynamical and Control Systems","P E OF",10883,"10883E","10883N","1079-2724","1573-8698","Springer US","E",1,16,4,"USD",701,"USD",841.2,28,,,
"Journal Dynamics Differential Equations","Journal of Dynamics and Differential Equations","P E OF",10884,"10884E","10884N","1040-7294","1572-9222","Springer US","E",1,22,4,"USD",913,"USD",1095.6,28,,,
"Journal Earth Science","Journal of Earth Science","P E",12583,"12583E","12583N","1674-487X","1867-111X","China University of Geosciences,  co-published with Springer","E",1,21,6,"USD",788,"USD",945.6,42,"New in 2009","Take-Over Co-Publication in 2009. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Earth System Science","Journal of Earth System Science","P E OF A",12040,"12040E","12040N","0253-4126","0973-774X","Springer India","E",1,119,6,"USD",355,"USD",426,42,,"Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal East Asian Linguistics","Journal of East Asian Linguistics","P E OF",10831,"10831E","10831N","0925-8558","1572-8560","Springer Netherlands","E",1,19,4,"USD",564,"USD",676.8,28,,,
"Journal Echocardiography","Journal of Echocardiography","P E OF",12574,"12574E","12574N","1349-0222","1880-344X","Springer Japan","E",1,8,4,"USD",285,"USD",342,28,"New in 2009","Take-over in 2009. ",
"Journal Economic Growth","Journal of Economic Growth","P E OF",10887,"10887E","10887N","1381-4338","1573-7020","Springer US","E",1,15,4,"USD",768,"USD",921.6,28,,,
"Journal Economic Inequality, The","The Journal of Economic Inequality","P E OF",10888,"10888E","10888N","1569-1721","1573-8701","Springer US","E",1,8,4,"USD",432,"USD",518.4,28,,"More content! ",
"Journal Economic Interaction Coordination","Journal of Economic Interaction and Coordination","P E OF",11403,"11403E","11403N","1860-711X","1860-7128","Springer Berlin Heidelberg","E",1,5,2,"USD",244,"USD",292.8,14,,,
"Journal Economics","Journal of Economics","P E OF",712,"712E","712N","0931-8658","1617-7134","Springer Wien","E",3,"99-101",3,"USD",1920,"USD",2304,90,,,
"Journal Economics and Finance","Journal of Economics and Finance","P E OF A",12197,"12197E","12197N","1055-0925","1938-9744","Springer US","E",1,34,4,"USD",225,"USD",270,28,,,
"Journal Educational Change","Journal of Educational Change","P E OF",10833,"10833E","10833N","1389-2843","1573-1812","Springer Netherlands","E",1,11,4,"USD",438,"USD",525.6,28,,,
"Journal Elasticity","Journal of Elasticity","P E OF",10659,"10659E","10659N","0374-3535","1573-2681","Springer Netherlands","E",4,"98-101",2,"USD",2464,"USD",2956.8,56,,,
"Journal Electroceramics","Journal of Electroceramics","P E OF",10832,"10832E","10832N","1385-3449","1573-8663","Springer US","E",2,"24+25",4,"USD",734,"USD",880.8,56,,,
"Journal Electronic Materials","Journal of Electronic Materials","P E OF",11664,"11664E","11664N","0361-5235","1543-186X","Springer US","E",1,39,12,"USD",775,"USD",930,84,,"More content! ",
"Journal Electronic Testing","Journal of Electronic Testing","P E OF",10836,"10836E","10836N","0923-8174","1573-0727","Springer US","E",1,26,6,"USD",1142,"USD",1370.4,42,,,
"Journal Electronics (China)","Journal of Electronics (China)","P E",11767,"11767E","11767N","0217-9822","1993-0615","Science Press, co-published with Springer","E",1,27,6,"USD",887,"USD",1064.4,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Engineering Mathematics","Journal of Engineering Mathematics","P E OF",10665,"10665E","10665N","0022-0833","1573-2703","Springer Netherlands","E",3,"66-68",4,"USD",1719,"USD",2062.8,84,,,
"Journal Engineering Physics Thermophysics","Journal of Engineering Physics and Thermophysics","P E",10891,"10891E","10891N","1062-0125","1573-871X","Springer US","E",1,83,6,"USD",4561,"USD",5473.2,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Engineering Thermophysics","Journal of Engineering Thermophysics","P E",11823,"11823E","11823N","1810-2328","1990-5432","MAIK Nauka/Interperiodica","E",1,19,4,"USD",908,"USD",1089.6,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Ethics, The","The Journal of Ethics","P E OF",10892,"10892E","10892N","1382-4554","1572-8609","Springer Netherlands","E",1,14,4,"USD",560,"USD",672,28,,,
"Journal Ethology","Journal of Ethology","P E OF S",10164,"10164E","10164N","0289-0771","1439-5444","Springer Japan","E",1,28,3,"USD",337,"USD",404.4,30,,"More content! ",
"Journal Evolution Equations","Journal of Evolution Equations ","P E OF",28,"028E","028N","1424-3199","1424-3202","Birkhäuser Verlag Basel","E",1,10,4,"USD",346,"USD",415.2,42,,,
"Journal Evolutionary Biochemistry Physiology","Journal of Evolutionary Biochemistry and Physiology","P E",10893,"10893E","10893N","0022-0930","1608-3202","MAIK Nauka/Interperiodica","E",1,46,6,"USD",4210,"USD",5052,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Evolutionary Economics","Journal of Evolutionary Economics","P E OF",191,"191E","191N","0936-9937","1432-1386","Springer Berlin Heidelberg","E",1,20,5,"USD",848,"USD",1017.6,50,,"More content! ",
"Journal Experimental Criminology","Journal of Experimental Criminology","P E OF",11292,"11292E","11292N","1573-3750","1572-8315","Springer US","E",1,6,4,"USD",533,"USD",639.6,28,,,
"Journal Experimental Theoretical Physics","Journal of Experimental and Theoretical Physics","P E",11447,"11447E","11447N","1063-7761","1090-6509","MAIK Nauka/Interperiodica","E",2,"110+111",6,"USD",7250,"USD",8700,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Journal of Experimental and Theoretical Physics / JETP Letters. ",
"Journal Experimental Theoretical Physics Letters","JETP Letters","P E",11448,"11448E","11448N","0021-3640","1090-6487","MAIK Nauka/Interperiodica","E",2,"91+92",12,"USD",3715,"USD",4458,168,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. See also combined subscription Journal of Experimental and Theoretical Physics / JETP Letters. ",
"Journal Failure Analysis Prevention","Journal of Failure Analysis and Prevention","P E OF",11668,"11668E","11668N","1547-7029","1864-1245","Springer US","E",1,10,6,"USD",756,"USD",907.2,42,,,
"Journal Family Economic Issues","Journal of Family and Economic Issues","P E OF",10834,"10834E","10834N","1058-0476","1573-3475","Springer US","E",1,31,4,"USD",859,"USD",1030.8,28,,,
"Journal Family Violence","Journal of Family Violence","P E OF",10896,"10896E","10896N","0885-7482","1573-2851","Springer US","E",1,25,8,"USD",1018,"USD",1221.6,56,,,
"Journal Financial Services Research","Journal of Financial Services Research","P E OF",10693,"10693E","10693N","0920-8550","1573-0735","Springer US","E",2,"37+38",3,"USD",900,"USD",1080,42,,,
"Journal Fixed Point Theory Applications","Journal of Fixed Point Theory and  Applications","P E OF",11784,"11784E","11784N","1661-7738","1661-7746","Birkhäuser Verlag Basel","E",2,"7+8",2,"USD",441,"USD",529.2,28,,"More content! ",
"Journal Flexible Service and Manufacturing","Flexible Services and Manufacturing Journal","P E OF",10696,"10696E","10696N","1936-6582","1936-6590","Springer US","E",1,22,4,"USD",603,"USD",723.6,28,,,
"Journal Fluorescence","Journal of Fluorescence","P E OF",10895,"10895E","10895N","1053-0509","1573-4994","Springer US","E",1,20,6,"USD",1188,"USD",1425.6,42,,,
"Journal Food Science and Technology","Journal of Food Science and Technology","P E OF",13197,"13197E","13197N","0022-1155","0975-8402","Springer India","E",1,47,6,"USD",330,"USD",396,42,"New in 2010","Take-over in 2010. Former publisher: Association of Food Scientists and Technologists. ",
"Journal Forest Research","Journal of Forest Research","P E OF",10310,"10310E","10310N","1341-6979","1610-7403","Springer Japan","E",1,15,6,"USD",308,"USD",369.6,60,,,
"Journal Forestry Research","Journal of Forestry Research","P E",11676,"11676E","11676N","1007-662X","1993-0607","Northeast Forestry University, co-published with Springer","E",1,21,4,"USD",611,"USD",733.2,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. More content! ",
"Journal Fourier Analysis Applications","Journal of Fourier Analysis and Applications","P E",41,"041E","041N","1069-5869","1531-5851","Birkhäuse  Boston","E",1,16,6,"USD",857,"USD",1028.4,42,,"More content! ",
"Journal Friction Wear","Journal of Friction and Wear","P E ",11959,"11959E","11959N","1068-3666","1934-9386","Allerton Press","E",1,31,6,"USD",2647,"USD",3176.4,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Fusion Energy","Journal of Fusion Energy","P E OF",10894,"10894E","10894N","0164-0313","1572-9591","Springer US","E",1,29,6,"USD",887,"USD",1064.4,42,,"More content! ",
"Journal Gambling Studies","Journal of Gambling Studies","E",10899,"10899E","10899N","1050-5350","1573-3602","Springer US","E",1,26,4,"USD",1126,,,,,"Only available in electronic format. ",
"Journal Gastroenterology","Journal of Gastroenterology","P E",535,"535E","535N","0944-1174","1435-5922","Springer Japan","E",1,45,12,"USD",695,"USD",834,120,,,
"Journal Gastrointestinal Surgery","Journal of Gastrointestinal Surgery","P E OF",11605,"11605E","11605N","1091-255X","1873-4626","Springer New York","E",1,14,12,"USD",522,"USD",626.4,84,,,
"Journal General Internal Medicine","Journal of General Internal Medicine","P E OF A",11606,"11606E","11606N","0884-8734","1525-1497","Springer New York","E",1,25,12,"USD",559,"USD",670.8,84,,,
"Journal General Philosophy Science","Journal for General Philosophy of Science","P E OF",10838,"10838E","10838N","0925-4560","1572-8587","Springer Netherlands","E",1,41,2,"USD",426,"USD",511.2,14,,,
"Journal General Plant Pathology","Journal of General Plant Pathology","P E OF",10327,"10327E","10327N","1345-2630","1610-739X","Springer Japan","E",1,76,6,"USD",445,"USD",534,60,,,
"Journal Genetic Counseling","Journal of Genetic Counseling","P E OF",10897,"10897E","10897N","1059-7700","1573-3599","Springer US","E",1,19,6,"USD",631,"USD",757.2,42,,,
"Journal Genetics","Journal of Genetics","P E OF A",12041,"12041E","12041N","0022-1333","0973-7731","Springer India","E",1,89,4,"USD",310,"USD",372,35,,"Erratum Journals Price List: Publishes 4 issues in 2010. Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal Geodesy","Journal of Geodesy","P E OF",190,"190E","190N","0949-7714","1432-1394","Springer Berlin Heidelberg","E",1,84,12,"USD",1765,"USD",2118,120,,"More content! ",
"Journal Geographical Sciences","Journal of Geographical Sciences","P E",11442,"11442E","11442N","1009-637X","1861-9568","Science in China Press, co-published with Springer","E",1,20,6,"USD",710,"USD",852,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. More content! ",
"Journal Geographical Systems","Journal of Geographical Systems","P E OF",10109,"10109E","10109N","1435-5930","1435-5949","Springer Berlin Heidelberg","E",1,12,4,"USD",419,"USD",502.8,40,,,
"Journal Geological Society of India","Journal of the Geological Society of India","P E OF A",12594,"12594E","12594N","0016-7622","0974-6889","Springer India, co-published with Geological Society of India","E",2,"75+76",6,"USD",525,"USD",630,84,"New in 2009","Take-over in 2009. Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal Geometric Analysis","Journal of Geometric Analysis","P E OF",12220,"12220E","12220N","1050-6926","1559-002X","Springer New York","E F D",1,20,4,"USD",598,"USD",717.6,28,,,
"Journal Geometry","Journal of Geometry","P E",22,"022E","022N","0047-2468","1420-8997","Birkhäuser Verlag Basel","E",3,"97-99",2,"USD",784,"USD",940.8,60,,"Change of Title No. Former Title No: 44, new Title No as of 2010: 22. ",
"Journal Global Optimization","Journal of Global Optimization","P E OF",10898,"10898E","10898N","0925-5001","1573-2916","Springer US","E",3,"46-48",4,"USD",2047,"USD",2456.4,84,,,
"Journal Grid Computing","Journal of Grid Computing","P E OF",10723,"10723E","10723N","1570-7873","1572-9184","Springer Netherlands","E",1,8,4,"USD",391,"USD",469.2,28,,,
"Journal Hand and Microsurgery","Journal of Hand and Microsurgery","P E OF",12593,"12593E","12593N","0974-3227","0974-6897","Springer India","E",1,2,2,"USD",165,"USD",198,14,"New in 2009","New start in 2009. ",
"Journal Happiness Studies","Journal of Happiness Studies","P E OF",10902,"10902E","10902N","1389-4978","1573-7780","Springer Netherlands","E",1,11,6,"USD",790,"USD",948,42,,,
"Journal Headache","The Journal of Headache and Pain","P E OF",10194,"10194E","10194N","1129-2369","1129-2377","Springer Milan","E",1,11,6,"USD",388,"USD",465.6,60,,,
"Journal Hematopathology","Journal of Hematopathology","P E OF",12308,"12308E","12308N","1868-9256","1865-5785","Springer Berlin Heidelberg","E",1,3,4,"USD",486,"USD",584,28,,"Erratum Journals Price List: Institutional rate print plus enhanced access EUR 432.00. Printed edition also available as of 2010. ",
"Journal Hepato-Biliary-Pancreatic Sciences","Journal of Hepato-Biliary-Pancreatic Sciences","P E OF",534,"534E","534N","1868-9674","1868-6982","Springer Japan","E",1,17,6,"USD",399,"USD",478.8,60,"Title Change","Title change: Prior to Volume 17 (2010) published as Journal of Hepato-Biliary-Pancreatic Surgery. ",
